Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1994,1994,°c,0.554,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1995,1995,°c,-1.656,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1996,1996,°c,1.433,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1997,1997,°c,1.078,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1998,1998,°c,0.435,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,1999,1999,°c,0.547,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2000,2000,°c,-1.511,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2001,2001,°c,0.874,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2002,2002,°c,-0.957,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2003,2003,°c,1.356,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2004,2004,°c,0.266,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2005,2005,°c,-0.992,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2006,2006,°c,-0.155,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2007,2007,°c,0.623,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2008,2008,°c,-0.762,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2009,2009,°c,1.879,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2010,2010,°c,2.36,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2011,2011,°c,1.307,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2012,2012,°c,-1.105,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2013,2013,°c,0.405,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2014,2014,°c,1.299,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2015,2015,°c,-0.661,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2016,2016,°c,1.238,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2017,2017,°c,-1.776,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2018,2018,°c,1.455,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2019,2019,°c,-0.706,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2020,2020,°c,-0.412,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2021,2021,°c,2.074,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7001,January,2022,2022,°c,-1.072,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1961,1961,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1962,1962,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1963,1963,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1964,1964,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1965,1965,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1966,1966,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1967,1967,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1968,1968,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1969,1969,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1970,1970,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1971,1971,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1972,1972,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1973,1973,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1974,1974,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1975,1975,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1976,1976,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1977,1977,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1978,1978,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1979,1979,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1980,1980,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1981,1981,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1982,1982,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1983,1983,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1984,1984,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1985,1985,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1986,1986,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1987,1987,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1988,1988,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1989,1989,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1990,1990,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1991,1991,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1992,1992,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1993,1993,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1994,1994,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1995,1995,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1996,1996,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1997,1997,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1998,1998,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,1999,1999,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2000,2000,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2001,2001,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2002,2002,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2003,2003,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2004,2004,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2005,2005,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2006,2006,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2007,2007,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2008,2008,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2009,2009,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2010,2010,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2011,2011,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2012,2012,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2013,2013,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2014,2014,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2015,2015,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2016,2016,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2017,2017,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2018,2018,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2019,2019,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2020,2020,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2021,2021,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7001,January,2022,2022,°c,1.073,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1961,1961,°c,-2.253,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1962,1962,°c,-1.841,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1963,1963,°c,0.825,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1964,1964,°c,-0.723,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1965,1965,°c,-0.7,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1966,1966,°c,0.482,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1967,1967,°c,-0.544,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1968,1968,°c,0.786,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1969,1969,°c,2.466,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1970,1970,°c,0.038,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1971,1971,°c,-1.318,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1972,1972,°c,0.437,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1973,1973,°c,-0.313,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1974,1974,°c,-0.235,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1975,1975,°c,-1.207,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1976,1976,°c,-1.742,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1977,1977,°c,1.25,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1978,1978,°c,1.442,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1979,1979,°c,1.087,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1980,1980,°c,-0.82,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1981,1981,°c,-1.305,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1982,1982,°c,-1.461,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1983,1983,°c,-0.428,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1984,1984,°c,-1.734,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1985,1985,°c,0.709,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1986,1986,°c,1.429,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1987,1987,°c,0.332,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1988,1988,°c,0.462,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1989,1989,°c,-2.129,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1990,1990,°c,-0.386,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1991,1991,°c,-0.328,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1992,1992,°c,-2.193,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1993,1993,°c,-1.821,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1994,1994,°c,-0.618,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1995,1995,°c,0.325,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1996,1996,°c,-0.221,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1997,1997,°c,-1.36,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1998,1998,°c,0.505,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,1999,1999,°c,-1.604,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2000,2000,°c,-1.463,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2001,2001,°c,-0.6,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2002,2002,°c,0.24,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2003,2003,°c,-1.487,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2004,2004,°c,1.145,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2005,2005,°c,-0.195,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2006,2006,°c,-0.12,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2007,2007,°c,0.662,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2008,2008,°c,-1.381,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2009,2009,°c,0.148,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2010,2010,°c,3.808,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2011,2011,°c,-0.258,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2012,2012,°c,-2.315,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2013,2013,°c,-0.216,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2014,2014,°c,1.197,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2015,2015,°c,-0.338,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2016,2016,°c,1.495,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2017,2017,°c,1.061,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2018,2018,°c,0.911,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2019,2019,°c,-1.476,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2020,2020,°c,-0.159,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2021,2021,°c,1.117,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7002,February,2022,2022,°c,-0.92,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1961,1961,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1962,1962,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1963,1963,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1964,1964,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1965,1965,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1966,1966,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1967,1967,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1968,1968,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1969,1969,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1970,1970,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1971,1971,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1972,1972,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1973,1973,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1974,1974,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1975,1975,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1976,1976,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1977,1977,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1978,1978,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1979,1979,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1980,1980,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1981,1981,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1982,1982,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1983,1983,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1984,1984,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1985,1985,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1986,1986,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1987,1987,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1988,1988,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1989,1989,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1990,1990,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1991,1991,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1992,1992,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1993,1993,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1994,1994,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1995,1995,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1996,1996,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1997,1997,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1998,1998,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,1999,1999,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2000,2000,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2001,2001,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2002,2002,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2003,2003,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2004,2004,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2005,2005,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2006,2006,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2007,2007,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2008,2008,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2009,2009,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2010,2010,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2011,2011,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2012,2012,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2013,2013,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2014,2014,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2015,2015,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2016,2016,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2017,2017,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2018,2018,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2019,2019,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2020,2020,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2021,2021,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,6078,Standard Deviation,7002,February,2022,2022,°c,1.267,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1961,1961,°c,-2.189,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1962,1962,°c,1.796,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1963,1963,°c,-0.914,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1964,1964,°c,1.768,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1965,1965,°c,-0.437,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1966,1966,°c,-1.247,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1967,1967,°c,-2.249,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1968,1968,°c,-0.322,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1969,1969,°c,3.135,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1970,1970,°c,0.209,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1971,1971,°c,0.87,E,Estimated value
ET,Temperature change on land,434,Libya,7271,Temperature change,7003,March,1972,1972,°c,0.134,E,Estimated value
